レコードナンバー,受注コード,注文日,請求合計金額,総合計金額,商品合計金額,消費税合計,決済方法,処理状況区分,入金フラグ,氏名,メールアドレス,都道府県区分,住所1,住所2,住所3,電話番号,電話番号2,性別区分
142,100000117364,2015/5/28,980,1080,1000,80,Custom payment method 2,通常処理,入金済,平石 廣祐,r7Tvj@test.org,大阪府,X,Y,Z,090-3248-5711,000,0
143,100000118824,2015/5/28,6410,6510,3999,0,Custom payment method 4,通常処理,入金済,大竹 結芽,VqdqeYFUTt@example.co.jp,大阪府,,,,090-8614-5391,,0
144,100000118824,2015/5/28,6410,6510,3999,0,Bank transfer,通常処理,入金済,川元 悠奈,B36ZaR@example.org,大阪府,,,,080-2031-0482,,0
145,100000119753,2015/5/28,1500,1500,1000,0,Bank transfer3,通常処理,入金済,平石 廣祐,J_pZ0@sample.jp,島根県,,,,090-3755-1045,,0
146,100000120345,2015/5/28,2916,3240,3000,240,Custom payment method 2,通常処理,入金済,神山 恵,LbLRsMBW@example.net,島根県,,,,090-5991-0239,,0
147,100000121259,2015/5/28,3596,3996,3700,296,Bank transfer4,通常処理,入金済,徳永 昭吾,rRTKPoT8@example.org,茨城県,,,,090-0880-0356,,0
148,100000121259,2015/5/28,3596,3996,3700,296,Bank transfer3,通常処理,入金済,鶴岡 沙和,F_j0EcM6SC@test.jp,奈良県,,,,080-8435-7383,,1
149,100000121259,2015/5/28,3596,3996,3700,296,Bank transfer,通常処理,入金済,狩野 芳彦,W1Nz66OY@example.jp,岡山県,,,,080-5427-0559,,0
150,100000122761,2015/5/28,1172,1280,1000,80,Bank transfer3,通常処理,入金済,麻生 松太郎,K9d_yH@sample.com,鹿児島県,,,,080-1402-3295,,0
151,100000122761,2015/5/28,649,9988,8989,999,Bank transfer4,通常処理,入金済,松野 吉夫,Q9MfANEaHr@test.org,和歌山県,,,,080-2886-1448,,0
152,100000122762,2015/5/28,81,1245,1120,125,Custom payment method 2,通常処理,入金済,柳谷 裕久,WrTiw@sample.org,新潟県,,,,090-8067-4975,,1
153,100000122763,2015/5/28,343,5279,4751,528,Bank transfer,通常処理,入金済,狩野 芳彦,xvK4u@example.net,熊本県,,,,090-6386-6359,,0
154,100000122764,2015/5/28,482,7423,6681,742,Custom payment method 2,通常処理,入金済,鶴岡 沙和,lV5X7y@test.net,富山県,,,,080-1248-1131,,0
155,100000122765,2015/5/28,394,6054,5449,605,Bank transfer3,通常処理,入金済,寺尾 知里,gLNefn@sample.co.jp,大分県,,,,090-5307-6306,,1
156,100000122766,2015/5/28,387,5952,5357,595,Bank transfer3,通常処理,入金済,立川 秀之,nciFt97H@example.co.jp,石川県,,,,090-4242-7094,,0
157,100000122767,2015/5/28,192,2957,2661,296,Bank transfer3,通常処理,入金済,狩野 芳彦,y0Ck2o@sample.co.jp,山口県,,,,090-9829-9611,,0
158,100000122768,2015/5/28,631,9705,8734,971,Custom payment method,通常処理,入金済,黒澤 等,mS3rJ8ku4z@sample.net,岡山県,,,,080-7985-8611,,0
159,100000122768,2015/5/28,125,1926,1733,193,Custom payment method 2,通常処理,入金済,国吉 涼香,wJAxro@example.net,宮崎県,,,,090-5627-8208,,1
160,100000122768,2015/5/28,396,6085,5476,609,Custom payment method 2,通常処理,入金済,若狭 由太郎,eG68ji@test.co.jp,群馬県,,,,090-7817-8204,,0
161,100000122769,2015/5/28,235,3618,3256,362,Bank transfer,通常処理,入金済,若狭 由太郎,uYEoSAYP@sample.jp,長崎県,,,,090-8445-6767,,1
162,100000122770,2015/5/28,541,8316,7484,832,Custom payment method,通常処理,入金済,国吉 涼香,oEn4f7JGX@sample.jp,大阪府,,,,090-6628-1585,,0
163,100000122771,2015/5/28,3,41,37,4,COD,通常処理,入金済,狩野 芳彦,gQblztz6S2@sample.com,山口県,,,,080-6835-9111,,1
164,100000122772,2015/5/29,454,6985,6286,699,Bank transfer4,通常処理,入金済,高森 正義,rzqcnnwPU@test.jp,新潟県,,,,080-3978-0260,,1
165,100000122773,2015/5/29,496,7631,6868,763,Custom payment method 3,通常処理,入金済,松木 江民,pQL7Z7@example.org,栃木県,,,,090-5117-0439,,0
166,100000122774,2015/5/29,227,3490,3141,349,Custom payment method 2,通常処理,入金済,鶴岡 沙和,mZqzu@test.net,静岡県,,,,090-9619-4027,,1
167,100000122775,2015/5/29,605,9310,8379,931,Custom payment method 2,通常処理,入金済,鈴木 嘉之,mSJzTphFO@test.com,茨城県,,,,080-2968-8067,,0
168,100000122776,2015/5/29,644,9915,8923,992,Bank transfer3,通常処理,入金済,立川 秀之,TauVmNv@example.co.jp,岐阜県,,,,090-4864-8232,,1
169,100000122776,2015/5/29,268,4125,3712,413,COD,通常処理,入金済,高垣 紗矢,m1c6yx89@test.net,茨城県,,,,080-3317-2873,,0
170,100000122777,2015/5/29,531,8175,7357,818,Bank transfer2,通常処理,入金済,鈴木 嘉之,lhNHCbv@example.net,高知県,,,,090-8358-3211,,1
171,100000122778,2015/5/29,276,4247,3822,425,Bank transfer4,通常処理,入金済,川元 悠奈,hLWfVD7D@test.co.jp,新潟県,,,,090-0146-2474,,1
172,100000122779,2015/5/29,427,6572,5915,657,Custom payment method 2,通常処理,入金済,狩野 芳彦,sGnNvf@example.org,群馬県,,,,080-2637-1823,,1
173,100000122780,2015/5/29,41,632,569,63,Bank transfer4,通常処理,入金済,小崎 友美,VOtXo@test.com,福島県,,,,080-0476-1047,,1
174,100000122781,2015/5/29,258,3965,3568,397,Custom payment method 2,通常処理,入金済,森田 素子,KZ7QZmjG_@sample.org,兵庫県,,,,090-5512-1334,,0
175,100000122782,2015/5/29,518,7964,7168,796,Custom payment method 3,通常処理,入金済,大竹 結芽,HIVBVMR@test.jp,岡山県,,,,080-8551-1390,,0
